iter	Passed	Remaining
1105	53650	19112
1106	53699	19063
1107	53738	19012
1108	53791	18965
1109	53829	18913
1110	53865	18860
1111	53904	18808
1112	53947	18758
1113	53987	18706
1114	54031	18656
1115	54068	18604
1116	54104	18551
1117	54147	18501
1118	54189	18450
1119	54238	18402
1120	54274	18349
1121	54332	18304
1122	54386	18257
1123	54429	18207
1124	54468	18156
1125	54512	18106
1126	54550	18054
1127	54588	18002
1128	54630	17952
1129	54688	17906
1130	54738	17858
1131	54775	17806
1132	54827	17759
1133	54870	17709
1134	54913	17659
1135	54960	17610
1136	55008	17562
1137	55044	17509
1138	55083	17458
1139	55130	17409
1140	55183	17362
1141	55228	17313
1142	55271	17263
1143	55323	17216
1144	55361	17164
1145	55398	17112
1146	55436	17061
1147	55473	17009
1148	55510	16957
1149	55548	16906
1150	55589	16855
1151	55632	16805
1152	55676	16756
1153	55713	16704
1154	55751	16652
1155	55799	16604
1156	55850	16557
1157	55904	16510
1158	55939	16458
1159	55977	16407
1160	56016	16356
1161	56053	16304
1162	56098	16255
1163	56133	16203
1164	56178	16154
1165	56221	16104
1166	56268	16055
1167	56308	16005
1168	56344	15953
1169	56402	15908
1170	56441	15857
1171	56488	15809
1172	56525	15757
1173	56570	15708
1174	56605	15656
1175	56648	15607
1176	56687	15556
1177	56727	15506
1178	56772	15457
1179	56813	15407
1180	56850	15355
1181	56898	15307
1182	56937	15257
1183	56987	15209
1184	57028	15159
1185	57076	15111
1186	57114	15060
1187	57152	15009
1188	57200	14961
1189	57246	14913
1190	57285	14862
1191	57322	14811
1192	57361	14760
1193	57401	14710
1194	57442	14661
1195	57490	14612
1196	57529	14562
1197	57583	14516
1198	57632	14468
1199	57668	14417
1200	57708	14367
1201	57754	14318
1202	57802	14270
1203	57852	14222
1204	57902	14175
1205	57942	14125
1206	57986	14076
1207	58029	14026
1208	58067	13976
1209	58114	13928
1210	58164	13880
1211	58204	13830
1212	58247	13781
1213	58289	13732
1214	58337	13684
1215	58377	13634
1216	58419	13584
1217	58460	13535
1218	58519	13489
1219	58563	13440
1220	58602	13390
1221	58655	13343
1222	58702	13295
1223	58744	13246
1224	58794	13198
1225	58837	13149
1226	58876	13099
1227	58918	13050
1228	58973	13004
1229	59028	12957
1230	59078	12909
